title,price,link,site
"OMEN - GT12-0030 25L Gaming Desktop PC, AMD Radeon RX 5500, AMD Ryzen 7 3700X, HyperX 16GB DDR4 RAM, 512GB PCIe NVMe SSD, Windows 10 Home, VR Ready, RGB Lighting (GT12-0030, 2020 Model) Shadow Black",1465,/Gaming-Desktop-Windows-Lighting-GT12-0030/dp/B088HHPW8F/ref=sr_1_26?dchild=1&keywords=PC&qid=1619718199&sr=8-26,amazon
"CYBERPOWERPC Gamer Supreme Liquid Cool Gaming PC, AMD Ryzen 9 5900X 3.7GHz, Geforce RTX 3070 8GB, 16GB DDR4, 1TB NVMe SSD, WiFi Ready & Win 10 Home (SLC8306A2)",,/CYBERPOWERPC-Supreme-Liquid-Geforce-SLC8306A2/dp/B08TT84N1L/ref=sr_1_27?dchild=1&keywords=PC&qid=1619718199&sr=8-27,amazon
"ROG Strix GA15DH Gaming Desktop PC, AMD Ryzen 7 3700X, GeForce GTX 1660 Ti, 16GB DDR4 RAM, 512GB PCIe SSD, Wi-Fi 5, Windows 10 Home, GA15DH-BS762",,/GA15DH-Desktop-GeForce-Windows-GA15DH-BS762/dp/B086HNWQ26/ref=sr_1_28?dchild=1&keywords=PC&qid=1619718199&sr=8-28,amazon
"SkyTech Blaze II Gaming Computer PC Desktop – Ryzen 5 2600 6-Core 3.4 GHz, NVIDIA GeForce GTX 1660 Super 6G, 500G SSD, 16GB DDR4 3000MHz, RGB, AC WiFi, Windows 10 Home 64-bit",,/SkyTech-Blaze-Gaming-Computer-Desktop/dp/B085F2BFWR/ref=sr_1_29?dchild=1&keywords=PC&qid=1619718199&sr=8-29,amazon
"OMEN 25L Gaming Desktop PC, AMD Radeon RX 5700, AMD Ryzen 7 3700X, HyperX 16 GB DDR4 RAM, 1 TB SATA Hard Drive & 512 GB PCIe NVMe SSD, Windows 10 Home, VR Ready, RGB Lighting (GT12-0050, 2020 Model)",,/Gaming-Desktop-Windows-Lighting-GT12-0050/dp/B088HHGL53/ref=sr_1_30?dchild=1&keywords=PC&qid=1619718199&sr=8-30,amazon
"Mini PC, BMAX Mini Computer Windows 10, Intel Core i3-5005U Processor Expandable 8GB RAM (up to 64GB) 128GB SSD, 4K@60Hz Mini DP/Dual WiFi/HDMI/BT 4.2/ 2X USB2.0,2X USB 3.0",,/BMAX-Computer-i3-5005U-Processor-Expandable/dp/B08VDMW5T2/ref=sr_1_31?dchild=1&keywords=PC&qid=1619718199&sr=8-31,amazon
"MSI Creator 15 Professional Laptop: 15.6"" 4K UHD Ultra-Thin Bezel Display, Intel Core i7-10875H, GeForce RTX 2070 Super, 32GB RAM, 1TB NVMe SSD, Thunderbolt 3, 100% Adobe RGB, Win10 PRO (A10SFS-287)",,/MSI-A10SFS-287-Professional-i7-10875H-Win10PRO/dp/B08DHY3VF6/ref=sr_1_32?dchild=1&keywords=PC&qid=1619718199&sr=8-32,amazon
"Logitech HD Pro Webcam C920, 1080p Widescreen Video Calling and Recording-(Renewed)",,/Logitech-Widescreen-Recording-Certified-Refurbished/dp/B010BJJAVY/ref=sr_1_33?dchild=1&keywords=PC&qid=1619718202&sr=8-33,amazon
"2021 Newest ASUS ROG Strix G15CE Gaming Desktop Computer, GeForce RTX 3070, Intel 11th 8-Core i7-11700F(Up to 4.9GHz), 16GB 3200MHz DDR4 RAM, 512GB SSD + 1TB HDD, Wi-Fi 6, B560 Motherboard+AllyFlex MP",,/ASUS-ROG-G15CE-i7-11700F-Motherboard/dp/B092H9S3K5/ref=sr_1_34?dchild=1&keywords=PC&qid=1619718202&sr=8-34,amazon
"Skytech Legacy 3.0 Gaming PC Desktop - Intel Core-i7 9700K 3.6GHz, RTX 3070 8GB, 16GB DDR4 3000, 1TB NVME, Z390 Motherboard, 750W Gold PSU, Windows 10 Home 64-bit",,/Skytech-Legacy-3-0-Gaming-Desktop/dp/B08M6GX9KB/ref=sr_1_35?dchild=1&keywords=PC&qid=1619718202&sr=8-35,amazon
